feature,importance
fea_sales_roll_6,637.0
fea_sales_roll_12,437.0
fea_num_items_per_dept_per_store_roll_6,388.0
fea_average_price_roll_6,316.0
fea_num_items_per_dept_per_store_roll_12,255.0
fea_count_price_updates_roll_6,248.0
fea_month_sin,248.0
fea_average_price_roll_12,235.0
fea_count_price_updates_roll_12,167.0
fea_store_id_encoded,163.0
fea_is_national_event,151.0
fea_is_event_1,119.0
fea_is_weekend,108.0
fea_state_id_encoded,106.0
fea_is_religious_event,73.0
fea_is_cultural_event,65.0
fea_is_sporting_event,56.0
fea_dept_id_encoded,51.0
fea_cat_id_encoded,41.0
fea_is_event_2,18.0
fea_is_snap_ca,8.0
