,ctx_item_id,arima_orer,seasonal_order,aic,arima_order_p,arima_order_d,arima_order_q,seasonal_order_p,seasonal_order_d,seasonal_order_q,seasonal_order_m
0,FOODS_1_004,"(1, 0, 2)","(0, 0, 0, 12)",582.3252933415106,1.0,0.0,2.0,0.0,0.0,0.0,12.0
1,FOODS_1_012,"(2, 1, 0)","(0, 0, 0, 12)",477.0998129248216,2.0,1.0,0.0,0.0,0.0,0.0,12.0
2,FOODS_1_018,"(2, 0, 0)","(2, 0, 0, 12)",700.8277086623726,2.0,0.0,0.0,2.0,0.0,0.0,12.0
3,FOODS_1_019,"(0, 1, 2)","(0, 0, 0, 12)",603.1365869130352,0.0,1.0,2.0,0.0,0.0,0.0,12.0
4,FOODS_1_021,"(2, 0, 0)","(0, 0, 1, 12)",403.56755642028645,2.0,0.0,0.0,0.0,0.0,1.0,12.0
5,FOODS_1_032,"(0, 1, 0)","(0, 0, 0, 12)",737.4667038032137,0.0,1.0,0.0,0.0,0.0,0.0,12.0
6,FOODS_1_043,"(2, 0, 0)","(0, 0, 0, 12)",588.4676439622292,2.0,0.0,0.0,0.0,0.0,0.0,12.0
7,FOODS_1_046,"(1, 0, 1)","(0, 0, 1, 12)",708.9590535234778,1.0,0.0,1.0,0.0,0.0,1.0,12.0
8,FOODS_1_055,"(5, 0, 0)","(1, 0, 0, 12)",693.4532037048815,5.0,0.0,0.0,1.0,0.0,0.0,12.0
9,FOODS_1_058,"(3, 0, 2)","(0, 0, 0, 12)",527.5744172782855,3.0,0.0,2.0,0.0,0.0,0.0,12.0
10,FOODS_1_085,"(5, 0, 0)","(0, 0, 1, 12)",708.6907209955516,5.0,0.0,0.0,0.0,0.0,1.0,12.0
11,FOODS_1_086,"(2, 0, 0)","(0, 0, 0, 12)",628.6061142542154,2.0,0.0,0.0,0.0,0.0,0.0,12.0
12,FOODS_1_099,"(2, 0, 0)","(1, 1, 0, 12)",258.71634339625444,2.0,0.0,0.0,1.0,1.0,0.0,12.0
13,FOODS_1_161,"(3, 0, 0)","(0, 0, 1, 12)",720.9345963597736,3.0,0.0,0.0,0.0,0.0,1.0,12.0
14,FOODS_1_162,"(1, 0, 2)","(0, 0, 0, 12)",496.1256859688956,1.0,0.0,2.0,0.0,0.0,0.0,12.0
15,FOODS_1_200,"(2, 0, 1)","(0, 1, 0, 12)",10.0,2.0,0.0,1.0,0.0,1.0,0.0,12.0
16,FOODS_1_218,"(3, 0, 0)","(0, 0, 0, 12)",761.7207089796616,3.0,0.0,0.0,0.0,0.0,0.0,12.0
17,FOODS_2_013,"(3, 1, 0)","(0, 0, 0, 12)",562.4811146932277,3.0,1.0,0.0,0.0,0.0,0.0,12.0
18,FOODS_2_112,"(2, 0, 0)","(0, 0, 0, 12)",304.21003337289426,2.0,0.0,0.0,0.0,0.0,0.0,12.0
