,date,store_id,sku,initial_inventory,arriving_inventory,transit_inventory,ending_inventory,average_inventory,actual_monthly_demand,projected_demand_3m,units_sold,stockout_units,fill_rate,ordered_qty,holding_cost_per_unit,pricce,unit_cost,holding_cost,held_inventory_unit_cost,total_cost,revenue,cogs,gross_profit,net_profit,stockout_profit_loss,model
0,2015-04-01,CA_1,FOODS_1_001,63,0,0,43,53.0,20,75,20,0,100.0,12,0.08960000000000001,2.24,0.44800000000000006,3.8528000000000007,19.264000000000003,23.116800000000005,44.800000000000004,8.96,35.84,12.723199999999999,0.0,prediction
1,2015-05-01,CA_1,FOODS_1_001,43,0,12,26,34.5,17,71,17,0,100.0,16,0.08960000000000001,2.24,0.44800000000000006,2.3296,11.648000000000001,13.977600000000002,38.080000000000005,7.616000000000001,30.464000000000006,16.486400000000003,0.0,prediction
2,2015-06-01,CA_1,FOODS_1_001,26,12,16,19,22.5,19,63,19,0,100.0,9,0.08960000000000001,2.24,0.44800000000000006,1.7024000000000004,8.512,10.214400000000001,42.56,8.512,34.048,23.8336,0.0,prediction
3,2015-07-01,CA_1,FOODS_1_001,19,16,9,18,18.5,17,63,17,0,100.0,19,0.08960000000000001,2.24,0.44800000000000006,1.6128000000000002,8.064000000000002,9.676800000000002,38.080000000000005,7.616000000000001,30.464000000000006,20.787200000000006,0.0,prediction
4,2015-08-01,CA_1,FOODS_1_001,18,9,19,10,14.0,17,65,17,0,100.0,19,0.08960000000000001,2.24,0.44800000000000006,0.8960000000000001,4.48,5.376,38.080000000000005,7.616000000000001,30.464000000000006,25.088000000000005,0.0,prediction
5,2015-09-01,CA_1,FOODS_1_001,10,19,19,14,12.0,15,62,15,0,100.0,14,0.08960000000000001,2.24,0.44800000000000006,1.2544000000000002,6.272000000000001,7.5264000000000015,33.6,6.720000000000001,26.880000000000003,19.3536,0.0,prediction
6,2015-10-01,CA_1,FOODS_1_001,14,19,14,15,14.5,18,65,18,0,100.0,18,0.08960000000000001,2.24,0.44800000000000006,1.3440000000000003,6.720000000000001,8.064,40.32000000000001,8.064000000000002,32.25600000000001,24.192000000000007,0.0,prediction
7,2015-11-01,CA_1,FOODS_1_001,15,14,18,5,10.0,24,71,24,0,100.0,24,0.08960000000000001,2.24,0.44800000000000006,0.44800000000000006,2.24,2.688,53.760000000000005,10.752000000000002,43.008,40.32,0.0,prediction
8,2015-12-01,CA_1,FOODS_1_001,5,18,24,0,2.5,26,76,23,3,88.46153846153845,29,0.08960000000000001,2.24,0.44800000000000006,0.0,0.0,0.0,51.52,10.304000000000002,41.216,41.216,5.376,prediction
9,2015-04-01,CA_1,FOODS_1_002,32,0,0,23,27.5,9,49,9,0,100.0,17,0.37920000000000004,9.48,1.8960000000000001,8.7216,43.608000000000004,52.329600000000006,85.32000000000001,17.064,68.256,15.926399999999994,0.0,prediction
10,2015-05-01,CA_1,FOODS_1_002,23,0,17,10,16.5,13,48,13,0,100.0,8,0.37920000000000004,9.48,1.8960000000000001,3.7920000000000003,18.96,22.752000000000002,123.24000000000001,24.648000000000003,98.59200000000001,75.84,0.0,prediction
11,2015-06-01,CA_1,FOODS_1_002,10,17,8,15,12.5,12,47,12,0,100.0,12,0.37920000000000004,9.48,1.8960000000000001,5.688000000000001,28.44,34.128,113.76,22.752000000000002,91.00800000000001,56.88000000000001,0.0,prediction
12,2015-07-01,CA_1,FOODS_1_002,15,8,12,1,8.0,22,58,22,0,100.0,23,0.37920000000000004,9.48,1.8960000000000001,0.37920000000000004,1.8960000000000001,2.2752000000000003,208.56,41.712,166.848,164.5728,0.0,prediction
13,2015-08-01,CA_1,FOODS_1_002,1,12,23,0,0.5,18,57,13,5,72.22222222222221,21,0.37920000000000004,9.48,1.8960000000000001,0.0,0.0,0.0,123.24000000000001,24.648000000000003,98.59200000000001,98.59200000000001,37.92,prediction
14,2015-09-01,CA_1,FOODS_1_002,0,23,21,13,6.5,10,51,10,0,100.0,7,0.37920000000000004,9.48,1.8960000000000001,4.929600000000001,24.648000000000003,29.577600000000004,94.80000000000001,18.96,75.84,46.2624,0.0,prediction
15,2015-10-01,CA_1,FOODS_1_002,13,21,7,24,18.5,10,40,10,0,100.0,0,0.37920000000000004,9.48,1.8960000000000001,9.100800000000001,45.504000000000005,54.604800000000004,94.80000000000001,18.96,75.84,21.2352,0.0,prediction
16,2015-11-01,CA_1,FOODS_1_002,24,7,0,22,23.0,9,38,9,0,100.0,7,0.37920000000000004,9.48,1.8960000000000001,8.342400000000001,41.712,50.0544,85.32000000000001,17.064,68.256,18.2016,0.0,prediction
17,2015-12-01,CA_1,FOODS_1_002,22,0,7,6,14.0,16,44,16,0,100.0,15,0.37920000000000004,9.48,1.8960000000000001,2.2752000000000003,11.376000000000001,13.651200000000001,151.68,30.336000000000002,121.34400000000001,107.6928,0.0,prediction
18,2015-04-01,CA_1,FOODS_1_003,59,0,0,40,49.5,19,66,19,0,100.0,7,0.1292,3.23,0.646,5.168,25.84,31.008,61.37,12.274000000000001,49.096,18.087999999999997,0.0,prediction
19,2015-05-01,CA_1,FOODS_1_003,40,0,7,8,24.0,32,90,32,0,100.0,43,0.1292,3.23,0.646,1.0336,5.168,6.2016,103.36,20.672,82.688,76.4864,0.0,prediction
20,2015-06-01,CA_1,FOODS_1_003,8,7,43,0,4.0,18,69,15,3,83.33333333333334,11,0.1292,3.23,0.646,0.0,0.0,0.0,48.45,9.69,38.760000000000005,38.760000000000005,7.751999999999999,prediction
21,2015-07-01,CA_1,FOODS_1_003,0,43,11,12,6.0,31,89,31,0,100.0,35,0.1292,3.23,0.646,1.5504000000000002,7.752000000000001,9.3024,100.13,20.026,80.104,70.8016,0.0,prediction
22,2015-08-01,CA_1,FOODS_1_003,12,11,35,0,6.0,24,82,23,1,95.83333333333334,24,0.1292,3.23,0.646,0.0,0.0,0.0,74.29,14.858,59.432,59.432,2.584,prediction
